#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
-1   1   1   HB   0.2372   0.2372   0.2372   0.2372   42004081
-1   2   1   HB   0.2269   0.2269   0.2269   0.2269   42004082
-1   3   1   HB   0.2322   0.2322   0.2322   0.2322   42004083
-1   4   1   HB   0.2157   0.2157   0.2157   0.2157   42004084
-1   5   1   HB   0.2369   0.2369   0.2369   0.2369   42004085
-1   6   1   HB   0.2192   0.2192   0.2192   0.2192   42004086
-1   7   1   HB   0.2464   0.2464   0.2464   0.2464   42004087
-1   8   1   HB   0.2239   0.2239   0.2239   0.2239   42004088
-1   9   1   HB   0.2373   0.2373   0.2373   0.2373   42004089
-1   10   1   HB   0.2248   0.2248   0.2248   0.2248   4200408a
-1   11   1   HB   0.2301   0.2301   0.2301   0.2301   4200408b
-1   12   1   HB   0.2302   0.2302   0.2302   0.2302   4200408c
-1   13   1   HB   0.2314   0.2314   0.2314   0.2314   4200408d
-1   14   1   HB   0.2254   0.2254   0.2254   0.2254   4200408e
-1   15   1   HB   0.2238   0.2238   0.2238   0.2238   4200408f
-1   16   1   HB   0.2478   0.2478   0.2478   0.2478   42004090
-1   17   1   HB   0.2263   0.2263   0.2263   0.2263   42004091
-1   18   1   HB   0.2473   0.2473   0.2473   0.2473   42004092
-1   19   1   HB   0.2326   0.2326   0.2326   0.2326   42004093
-1   20   1   HB   0.2352   0.2352   0.2352   0.2352   42004094
-1   21   1   HB   0.2552   0.2552   0.2552   0.2552   42004095
-1   22   1   HB   0.2253   0.2253   0.2253   0.2253   42004096
-1   23   1   HB   0.2602   0.2602   0.2602   0.2602   42004097
-1   24   1   HB   0.2482   0.2482   0.2482   0.2482   42004098
-1   25   1   HB   0.2412   0.2412   0.2412   0.2412   42004099
-1   26   1   HB   0.2299   0.2299   0.2299   0.2299   4200409a
-1   27   1   HB   0.2369   0.2369   0.2369   0.2369   4200409b
-1   28   1   HB   0.2259   0.2259   0.2259   0.2259   4200409c
-1   29   1   HB   0.2299   0.2299   0.2299   0.2299   4200409d
-1   30   1   HB   0.2498   0.2498   0.2498   0.2498   4200409e
-1   31   1   HB   0.2388   0.2388   0.2388   0.2388   4200409f
-1   32   1   HB   0.2096   0.2096   0.2096   0.2096   420040a0
-1   33   1   HB   0.1447   0.1447   0.1447   0.1447   420040a1
-1   34   1   HB   0.1837   0.1837   0.1837   0.1837   420040a2
-1   35   1   HB   0.1848   0.1848   0.1848   0.1848   420040a3
-1   36   1   HB   0.206   0.206   0.206   0.206   420040a4
-1   37   1   HB   0.2159   0.2159   0.2159   0.2159   420040a5
-1   38   1   HB   0.2089   0.2089   0.2089   0.2089   420040a6
-1   39   1   HB   0.2503   0.2503   0.2503   0.2503   420040a7
-1   40   1   HB   0.224   0.224   0.224   0.224   420040a8
-1   41   1   HB   0.2207   0.2207   0.2207   0.2207   420040a9
-1   42   1   HB   0.2364   0.2364   0.2364   0.2364   420040aa
-1   43   1   HB   0.2256   0.2256   0.2256   0.2256   420040ab
-1   44   1   HB   0.2178   0.2178   0.2178   0.2178   420040ac
-1   45   1   HB   0.2313   0.2313   0.2313   0.2313   420040ad
-1   46   1   HB   0.2355   0.2355   0.2355   0.2355   420040ae
-1   47   1   HB   0.2477   0.2477   0.2477   0.2477   420040af
-1   48   1   HB   0.2241   0.2241   0.2241   0.2241   420040b0
-1   49   1   HB   0.2464   0.2464   0.2464   0.2464   420040b1
-1   50   1   HB   0.2553   0.2553   0.2553   0.2553   420040b2
-1   51   1   HB   0.2404   0.2404   0.2404   0.2404   420040b3
-1   52   1   HB   0.2535   0.2535   0.2535   0.2535   420040b4
-1   53   1   HB   0.2526   0.2526   0.2526   0.2526   420040b5
-1   54   1   HB   0.2355   0.2355   0.2355   0.2355   420040b6
-1   55   1   HB   0.2365   0.2365   0.2365   0.2365   420040b7
-1   56   1   HB   0.2329   0.2329   0.2329   0.2329   420040b8
-1   57   1   HB   0.2365   0.2365   0.2365   0.2365   420040b9
-1   58   1   HB   0.2211   0.2211   0.2211   0.2211   420040ba
-1   59   1   HB   0.2124   0.2124   0.2124   0.2124   420040bb
-1   60   1   HB   0.2765   0.2765   0.2765   0.2765   420040bc
-1   61   1   HB   0.2372   0.2372   0.2372   0.2372   420040bd
-1   62   1   HB   0.2333   0.2333   0.2333   0.2333   420040be
-1   63   1   HB   0.2388   0.2388   0.2388   0.2388   420040bf
-1   64   1   HB   0.2403   0.2403   0.2403   0.2403   420040c0
-1   65   1   HB   0.2401   0.2401   0.2401   0.2401   420040c1
-1   66   1   HB   0.245   0.245   0.245   0.245   420040c2
-1   67   1   HB   0.2252   0.2252   0.2252   0.2252   420040c3
-1   68   1   HB   0.2289   0.2289   0.2289   0.2289   420040c4
-1   69   1   HB   0.2356   0.2356   0.2356   0.2356   420040c5
-1   70   1   HB   0.2398   0.2398   0.2398   0.2398   420040c6
-1   71   1   HB   0.2211   0.2211   0.2211   0.2211   420040c7
-1   72   1   HB   0.2227   0.2227   0.2227   0.2227   420040c8
-2   1   1   HB   0.2292   0.2292   0.2292   0.2292   42004101
-2   2   1   HB   0.2136   0.2136   0.2136   0.2136   42004102
-2   3   1   HB   0.2191   0.2191   0.2191   0.2191   42004103
-2   4   1   HB   0.1992   0.1992   0.1992   0.1992   42004104
-2   5   1   HB   0.2237   0.2237   0.2237   0.2237   42004105
-2   6   1   HB   0.2035   0.2035   0.2035   0.2035   42004106
-2   7   1   HB   0.2248   0.2248   0.2248   0.2248   42004107
-2   8   1   HB   0.208   0.208   0.208   0.208   42004108
