#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
-1   1   1   HB   0.8048   0.8122   0.7948   0.7936   42004081
-1   2   1   HB   0.829   0.8239   0.7983   0.7934   42004082
-1   3   1   HB   0.8002   0.7751   0.7724   0.7633   42004083
-1   4   1   HB   0.7941   0.7963   0.7888   0.7872   42004084
-1   5   1   HB   0.8211   0.8094   0.7953   0.8116   42004085
-1   6   1   HB   0.7862   0.7593   0.7561   0.7448   42004086
-1   7   1   HB   0.7711   0.7752   0.7644   0.7732   42004087
-1   8   1   HB   0.8546   0.851   0.854   0.8312   42004088
-1   9   1   HB   0.8151   0.8109   0.7968   0.8055   42004089
-1   10   1   HB   0.725   0.7185   0.7257   0.7329   4200408a
-1   11   1   HB   0.7567   0.7547   0.7553   0.7555   4200408b
-1   12   1   HB   0.7863   0.7675   0.7546   0.7414   4200408c
-1   13   1   HB   0.7617   0.7697   0.7727   0.7744   4200408d
-1   14   1   HB   0.8027   0.8076   0.7989   0.7757   4200408e
-1   15   1   HB   0.771   0.7455   0.7377   0.7408   4200408f
-1   16   1   HB   0.7359   0.7288   0.7189   0.7143   42004090
-1   17   1   HB   0.7337   0.7378   0.7201   0.7525   42004091
-1   18   1   HB   0.6956   0.7011   0.7076   0.7031   42004092
-1   19   1   HB   0.8344   0.8329   0.8175   0.8273   42004093
-1   20   1   HB   0.7437   0.7384   0.7307   0.7456   42004094
-1   21   1   HB   0.8085   0.8213   0.8094   0.8165   42004095
-1   22   1   HB   0.8746   0.8442   0.8254   0.8559   42004096
-1   23   1   HB   0.8262   0.8251   0.8178   0.8217   42004097
-1   24   1   HB   0.7224   0.7075   0.7214   0.7188   42004098
-1   25   1   HB   0.7846   0.7868   0.8028   0.7807   42004099
-1   26   1   HB   0.7453   0.7361   0.7483   0.7465   4200409a
-1   27   1   HB   0.8184   0.8329   0.8229   0.8263   4200409b
-1   28   1   HB   0.7638   0.7667   0.776   0.7613   4200409c
-1   29   1   HB   0.7861   0.7806   0.8017   0.7764   4200409d
-1   30   1   HB   0.8352   0.8253   0.8305   0.8324   4200409e
-1   31   1   HB   0.8285   0.821   0.8144   0.8442   4200409f
-1   32   1   HB   0.7403   0.728   0.7209   0.7334   420040a0
-1   33   1   HB   0.7204   0.7244   0.7382   0.7301   420040a1
-1   34   1   HB   0.7881   0.808   0.7386   0.7691   420040a2
