#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
-1   1   1   HB   3.511   2.791   3.338   2.923   42004081
-1   2   1   HB   3.243   2.739   3.149   2.692   42004082
-1   3   1   HB   3.247   2.998   3.427   3.105   42004083
-1   4   1   HB   3.708   2.684   4.108   2.475   42004084
-1   5   1   HB   2.864   2.478   3.438   2.639   42004085
-1   6   1   HB   3.025   3.129   2.703   3.147   42004086
-1   7   1   HB   3.079   2.843   3.489   3.317   42004087
-1   8   1   HB   3.491   2.04   3.622   1.952   42004088
-1   9   1   HB   3.181   2.877   3.273   3.241   42004089
-1   10   1   HB   3.053   2.905   3.512   3.61   4200408a
-1   11   1   HB   2.968   2.567   3.356   2.683   4200408b
-1   12   1   HB   3.187   2.919   3.273   3.118   4200408c
-1   13   1   HB   2.647   2.96   3.041   2.416   4200408d
-1   14   1   HB   2.432   2.576   2.98   3.118   4200408e
-1   15   1   HB   2.918   3.173   2.542   2.758   4200408f
-1   16   1   HB   3.161   2.879   2.96   2.776   42004090
-1   17   1   HB   3.62   2.672   3.716   2.699   42004091
-1   18   1   HB   3.323   3.243   3.405   2.993   42004092
-1   19   1   HB   3.365   2.65   3.51   2.614   42004093
-1   20   1   HB   2.835   3.239   3.342   3.332   42004094
-1   21   1   HB   3.535   2.855   3.441   2.832   42004095
-1   22   1   HB   3.136   2.774   3.419   3.092   42004096
-1   23   1   HB   2.996   2.959   3.374   3.129   42004097
-1   24   1   HB   3.089   2.704   3.502   2.94   42004098
-1   25   1   HB   3.433   3.146   3.715   2.589   42004099
-1   26   1   HB   3.247   2.989   2.981   3.317   4200409a
-1   27   1   HB   2.555   2.909   3.032   2.833   4200409b
-1   28   1   HB   3.287   2.779   3.543   3.33   4200409c
-1   29   1   HB   3.329   2.667   3.454   2.903   4200409d
-1   30   1   HB   2.873   2.873   3.222   2.503   4200409e
-1   31   1   HB   3.142   2.508   3.248   2.234   4200409f
-1   32   1   HB   3.269   3.102   3.201   2.401   420040a0
-1   33   1   HB   3.247   2.592   4.049   2.745   420040a1
-1   34   1   HB   3.654   2.428   3.934   2.993   420040a2
-1   35   1   HB   2.636   2.849   2.964   2.823   420040a3
-1   36   1   HB   3.496   2.684   3.641   2.758   420040a4
-1   37   1   HB   3.131   2.653   4.106   2.519   420040a5
-1   38   1   HB   3.165   2.845   3.307   2.654   420040a6
-1   39   1   HB   3.017   2.748   2.903   3.128   420040a7
-1   40   1   HB   3.309   2.833   3.236   2.548   420040a8
-1   41   1   HB   2.98   2.537   2.6   2.776   420040a9
-1   42   1   HB   3.107   1.782   3.328   2.813   420040aa
-1   43   1   HB   2.88   3.006   3.106   2.851   420040ab
-1   44   1   HB   3.463   2.789   3.534   2.215   420040ac
-1   45   1   HB   3.353   2.396   4.183   1.902   420040ad
-1   46   1   HB   2.916   2.91   3.535   3.198   420040ae
-1   47   1   HB   3.145   2.757   3.156   3.281   420040af
-1   48   1   HB   3.939   2.057   3.719   1.225   420040b0
-1   49   1   HB   3.533   2.524   3.771   2.777   420040b1
-1   50   1   HB   3.55   2.987   3.68   2.987   420040b2
-1   51   1   HB   2.959   3.016   3.116   3.399   420040b3
-1   52   1   HB   3.122   3.177   3.995   2.85   420040b4
-1   53   1   HB   3.206   2.857   2.95   3.106   420040b5
-1   54   1   HB   3.392   3.157   3.554   2.629   420040b6
-1   55   1   HB   2.755   3.019   2.997   2.594   420040b7
-1   56   1   HB   3.401   2.682   3.103   2.002   420040b8
-1   57   1   HB   3.426   2.777   3.337   2.825   420040b9
-1   58   1   HB   2.645   2.703   3.042   2.911   420040ba
-1   59   1   HB   2.768   2.725   2.695   2.778   420040bb
