#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   1   1   1   1   4200608c
1   13   1   HB   1   1   1   1   4200608d
1   15   1   HB   1   1   1   1   4200608f
2   12   1   HB   1   1   1   1   4200610c
2   13   1   HB   1   1   1   1   4200610d
2   15   1   HB   1   1   1   1   4200610f
3   12   1   HB   1   1   1   1   4200618c
3   13   1   HB   1   1   1   1   4200618d
3   15   1   HB   1   1   1   1   4200618f
4   12   1   HB   1   1   1   1   4200620c
4   13   1   HB   1   1   1   1   4200620d
4   15   1   HB   1   1   1   1   4200620f
5   12   1   HB   1   1   1   1   4200628c
5   13   1   HB   1   1   1   1   4200628d
5   15   1   HB   1   1   1   1   4200628f
6   12   1   HB   1   1   1   1   4200630c
6   13   1   HB   1   1   1   1   4200630d
6   14   1   HB   1   1   1   1   4200630e
6   15   1   HB   1   1   1   1   4200630f
6   24   1   HB   1   1   1   1   42006318
6   34   1   HB   1   1   1   1   42006322
6   44   1   HB   1   1   1   1   4200632c
7   12   1   HB   1   1   1   1   4200638c
7   13   1   HB   1   1   1   1   4200638d
7   14   1   HB   1   1   1   1   4200638e
7   15   1   HB   1   1   1   1   4200638f
7   24   1   HB   1   1   1   1   42006398
7   34   1   HB   1   1   1   1   420063a2
7   44   1   HB   1   1   1   1   420063ac
8   12   1   HB   1   1   1   1   4200640c
8   13   1   HB   1   1   1   1   4200640d
8   14   1   HB   1   1   1   1   4200640e
8   15   1   HB   1   1   1   1   4200640f
8   24   1   HB   1   1   1   1   42006418
8   34   1   HB   1   1   1   1   42006422
8   44   1   HB   1   1   1   1   4200642c
9   12   1   HB   1   1   1   1   4200648c
9   13   1   HB   1   1   1   1   4200648d
9   14   1   HB   1   1   1   1   4200648e
9   15   1   HB   1   1   1   1   4200648f
9   24   1   HB   1   1   1   1   42006498
9   34   1   HB   1   1   1   1   420064a2
9   44   1   HB   1   1   1   1   420064ac
10   12   1   HB   1   1   1   1   4200650c
10   13   1   HB   1   1   1   1   4200650d
10   15   1   HB   1   1   1   1   4200650f
11   12   1   HB   1   1   1   1   4200658c
11   13   1   HB   1   1   1   1   4200658d
11   15   1   HB   1   1   1   1   4200658f
12   12   1   HB   1   1   1   1   4200660c
12   13   1   HB   1   1   1   1   4200660d
12   15   1   HB   1   1   1   1   4200660f
13   12   1   HB   1   1   1   1   4200668c
13   13   1   HB   1   1   1   1   4200668d
13   15   1   HB   1   1   1   1   4200668f
14   12   1   HB   1   1   1   1   4200670c
14   13   1   HB   1   1   1   1   4200670d
14   15   1   HB   1   1   1   1   4200670f
15   12   1   HB   1   1   1   1   4200678c
15   13   1   HB   1   1   1   1   4200678d
15   15   1   HB   1   1   1   1   4200678f
16   12   1   HB   1   1   1   1   4200680c
16   13   1   HB   1   1   1   1   4200680d
16   15   1   HB   1   1   1   1   4200680f
15   12   2   HB   1   1   1   1   4200a78c
15   13   2   HB   1   1   1   1   4200a78d
15   15   2   HB   1   1   1   1   4200a78f
16   12   2   HB   1   1   1   1   4200a80c
16   13   2   HB   1   1   1   1   4200a80d
16   15   2   HB   1   1   1   1   4200a80f
1   3   4   HO   1   1   1   1   46012083
1   4   4   HO   1   1   1   1   46012084
1   5   4   HO   1   1   1   1   46012085
1   6   4   HO   1   1   1   1   46012086
2   3   4   HO   1   1   1   1   46012103
2   4   4   HO   1   1   1   1   46012104
2   5   4   HO   1   1   1   1   46012105
2   6   4   HO   1   1   1   1   46012106
3   3   4   HO   1   1   1   1   46012183
3   4   4   HO   1   1   1   1   46012184
3   5   4   HO   1   1   1   1   46012185
3   6   4   HO   1   1   1   1   46012186
4   3   4   HO   1   1   1   1   46012203
4   4   4   HO   1   1   1   1   46012204
4   5   4   HO   1   1   1   1   46012205
4   6   4   HO   1   1   1   1   46012206
5   2   4   HO   1   1   1   1   46012282
5   3   4   HO   1   1   1   1   46012283
5   4   4   HO   1   1   1   1   46012284
6   2   4   HO   1   1   1   1   46012302
6   3   4   HO   1   1   1   1   46012303
6   4   4   HO   1   1   1   1   46012304
7   2   4   HO   1   1   1   1   46012382
7   3   4   HO   1   1   1   1   46012383
7   4   4   HO   1   1   1   1   46012384
8   2   4   HO   1   1   1   1   46012402
8   3   4   HO   1   1   1   1   46012403
8   4   4   HO   1   1   1   1   46012404
9   2   4   HO   1   1   1   1   46012482
9   3   4   HO   1   1   1   1   46012483
9   4   4   HO   1   1   1   1   46012484
10   2   4   HO   1   1   1   1   46012502
10   3   4   HO   1   1   1   1   46012503
10   4   4   HO   1   1   1   1   46012504
31   1   1   HF   1   1   1   1   48006f81
31   3   1   HF   1   1   1   1   48006f83
31   5   1   HF   1   1   1   1   48006f85
31   7   1   HF   1   1   1   1   48006f87
31   9   1   HF   1   1   1   1   48006f89
31   11   1   HF   1   1   1   1   48006f8b
31   13   1   HF   1   1   1   1   48006f8d
31   15   1   HF   1   1   1   1   48006f8f
31   17   1   HF   1   1   1   1   48006f91
31   19   1   HF   1   1   1   1   48006f93
31   21   1   HF   1   1   1   1   48006f95
31   23   1   HF   1   1   1   1   48006f97
31   25   1   HF   1   1   1   1   48006f99
31   27   1   HF   1   1   1   1   48006f9b
31   29   1   HF   1   1   1   1   48006f9d
31   31   1   HF   1   1   1   1   48006f9f
31   33   1   HF   1   1   1   1   48006fa1
31   35   1   HF   1   1   1   1   48006fa3
31   37   1   HF   1   1   1   1   48006fa5
31   39   1   HF   1   1   1   1   48006fa7
31   41   1   HF   1   1   1   1   48006fa9
31   43   1   HF   1   1   1   1   48006fab
31   45   1   HF   1   1   1   1   48006fad
31   47   1   HF   1   1   1   1   48006faf
33   1   1   HF   1   1   1   1   48007081
33   3   1   HF   1   1   1   1   48007083
33   5   1   HF   1   1   1   1   48007085
