#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   1   1   1   1   4200608c
1   15   1   HB   1   1   1   1   4200608f
2   12   1   HB   1   1   1   1   4200610c
2   15   1   HB   1   1   1   1   4200610f
3   12   1   HB   1   1   1   1   4200618c
3   15   1   HB   1   1   1   1   4200618f
4   12   1   HB   1   1   1   1   4200620c
4   15   1   HB   1   1   1   1   4200620f
5   12   1   HB   1   1   1   1   4200628c
5   15   1   HB   1   1   1   1   4200628f
6   12   1   HB   1   1   1   1   4200630c
6   13   1   HB   1   1   1   1   4200630d
6   14   1   HB   1   1   1   1   4200630e
6   15   1   HB   1   1   1   1   4200630f
6   23   1   HB   1   1   1   1   42006317
6   24   1   HB   1   1   1   1   42006318
6   33   1   HB   1   1   1   1   42006321
6   34   1   HB   1   1   1   1   42006322
6   43   1   HB   1   1   1   1   4200632b
6   44   1   HB   1   1   1   1   4200632c
7   12   1   HB   1   1   1   1   4200638c
7   13   1   HB   1   1   1   1   4200638d
7   14   1   HB   1   1   1   1   4200638e
7   15   1   HB   1   1   1   1   4200638f
7   23   1   HB   1   1   1   1   42006397
7   24   1   HB   1   1   1   1   42006398
7   33   1   HB   1   1   1   1   420063a1
7   34   1   HB   1   1   1   1   420063a2
7   43   1   HB   1   1   1   1   420063ab
7   44   1   HB   1   1   1   1   420063ac
8   12   1   HB   1   1   1   1   4200640c
8   13   1   HB   1   1   1   1   4200640d
8   14   1   HB   1   1   1   1   4200640e
8   15   1   HB   1   1   1   1   4200640f
8   23   1   HB   1   1   1   1   42006417
8   24   1   HB   1   1   1   1   42006418
8   33   1   HB   1   1   1   1   42006421
8   34   1   HB   1   1   1   1   42006422
8   43   1   HB   1   1   1   1   4200642b
8   44   1   HB   1   1   1   1   4200642c
9   12   1   HB   1   1   1   1   4200648c
9   13   1   HB   1   1   1   1   4200648d
9   14   1   HB   1   1   1   1   4200648e
9   15   1   HB   1   1   1   1   4200648f
9   23   1   HB   1   1   1   1   42006497
9   24   1   HB   1   1   1   1   42006498
9   33   1   HB   1   1   1   1   420064a1
9   43   1   HB   1   1   1   1   420064ab
9   44   1   HB   1   1   1   1   420064ac
10   12   1   HB   1   1   1   1   4200650c
10   15   1   HB   1   1   1   1   4200650f
11   12   1   HB   1   1   1   1   4200658c
11   15   1   HB   1   1   1   1   4200658f
12   12   1   HB   1   1   1   1   4200660c
12   15   1   HB   1   1   1   1   4200660f
13   12   1   HB   1   1   1   1   4200668c
13   15   1   HB   1   1   1   1   4200668f
14   12   1   HB   1   1   1   1   4200670c
14   15   1   HB   1   1   1   1   4200670f
15   12   1   HB   1   1   1   1   4200678c
15   15   1   HB   1   1   1   1   4200678f
16   12   1   HB   1   1   1   1   4200680c
16   15   1   HB   1   1   1   1   4200680f
15   12   2   HB   1   1   1   1   4200a78c
15   15   2   HB   1   1   1   1   4200a78f
16   12   2   HB   1   1   1   1   4200a80c
16   15   2   HB   1   1   1   1   4200a80f
31   1   1   HF   1   1   1   1   48006f81
31   3   1   HF   1   1   1   1   48006f83
31   5   1   HF   1   1   1   1   48006f85
31   7   1   HF   1   1   1   1   48006f87
31   9   1   HF   1   1   1   1   48006f89
31   11   1   HF   1   1   1   1   48006f8b
31   13   1   HF   1   1   1   1   48006f8d
31   15   1   HF   1   1   1   1   48006f8f
31   17   1   HF   1   1   1   1   48006f91
31   19   1   HF   1   1   1   1   48006f93
31   21   1   HF   1   1   1   1   48006f95
31   23   1   HF   1   1   1   1   48006f97
31   25   1   HF   1   1   1   1   48006f99
31   27   1   HF   1   1   1   1   48006f9b
31   29   1   HF   1   1   1   1   48006f9d
31   31   1   HF   1   1   1   1   48006f9f
31   33   1   HF   1   1   1   1   48006fa1
31   35   1   HF   1   1   1   1   48006fa3
31   37   1   HF   1   1   1   1   48006fa5
31   39   1   HF   1   1   1   1   48006fa7
31   41   1   HF   1   1   1   1   48006fa9
31   43   1   HF   1   1   1   1   48006fab
31   45   1   HF   1   1   1   1   48006fad
31   47   1   HF   1   1   1   1   48006faf
33   1   1   HF   1   1   1   1   48007081
33   3   1   HF   1   1   1   1   48007083
33   5   1   HF   1   1   1   1   48007085
