#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.237   2.976   3.544   3.095   4200608c
1   13   1   HB   2.67   3.098   3.175   3.001   4200608d
1   14   1   HB   2.766   2.467   2.974   2.885   4200608e
1   15   1   HB   3.669   3.446   3.951   3.904   4200608f
2   12   1   HB   1.867   1.749   2.137   1.749   4200610c
2   13   1   HB   2.92   2.523   3.169   2.553   4200610d
2   14   1   HB   3.33   3.279   3.344   3.159   4200610e
2   15   1   HB   3.914   3.532   4.04   3.485   4200610f
3   12   1   HB   2.817   2.814   3.154   3.047   4200618c
3   13   1   HB   2.658   2.883   3.236   2.486   4200618d
3   14   1   HB   2.742   2.786   2.69   2.993   4200618e
3   15   1   HB   3.108   3.114   3.324   2.947   4200618f
4   12   1   HB   1.518   1.772   1.904   1.841   4200620c
4   13   1   HB   2.991   3.194   3.614   2.751   4200620d
4   14   1   HB   2.762   2.887   2.902   2.876   4200620e
4   15   1   HB   4.014   4.111   3.586   4.004   4200620f
5   12   1   HB   2.754   2.913   3.057   2.544   4200628c
5   13   1   HB   2.687   3.1   2.673   2.932   4200628d
5   14   1   HB   2.971   3.083   2.839   3.195   4200628e
5   15   1   HB   3.05   3.532   3.431   3.885   4200628f
6   12   1   HB   1.409   1.557   1.529   1.491   4200630c
6   13   1   HB   2.985   3.072   3.017   2.995   4200630d
6   14   1   HB   2.894   2.844   2.714   2.628   4200630e
6   15   1   HB   3.687   3.503   3.426   3.829   4200630f
7   12   1   HB   2.604   2.834   2.789   2.85   4200638c
7   13   1   HB   2.362   2.905   2.697   3.194   4200638d
7   14   1   HB   2.7   3.183   3.028   2.96   4200638e
7   15   1   HB   4.327   4.473   4.238   4.452   4200638f
8   12   1   HB   1.985   1.367   1.847   1.584   4200640c
8   13   1   HB   2.774   2.577   2.72   2.918   4200640d
8   14   1   HB   3.372   3.242   3.323   3.194   4200640e
8   15   1   HB   4.204   4.132   4.201   4.361   4200640f
9   12   1   HB   2.769   2.904   2.988   3.187   4200648c
9   13   1   HB   2.818   2.726   2.606   2.673   4200648d
9   14   1   HB   2.312   2.531   2.407   2.611   4200648e
9   15   1   HB   3.949   3.921   4.179   4.248   4200648f
10   12   1   HB   1.067   2.094   1.764   1.691   4200650c
10   13   1   HB   3.095   3.092   3.107   3.404   4200650d
10   14   1   HB   2.672   2.721   2.895   2.641   4200650e
10   15   1   HB   3.691   3.625   3.631   3.635   4200650f
11   12   1   HB   2.553   3.091   3.267   3.085   4200658c
11   13   1   HB   2.838   2.996   3.098   3.175   4200658d
11   14   1   HB   3.287   3.307   3.092   3.449   4200658e
11   15   1   HB   3.657   4.263   3.971   4.53   4200658f
12   12   1   HB   1.788   1.952   1.777   1.953   4200660c
12   13   1   HB   2.565   2.755   2.722   2.742   4200660d
12   14   1   HB   2.697   2.608   3.047   3.154   4200660e
12   15   1   HB   3.761   3.844   3.815   3.886   4200660f
13   12   1   HB   3.045   3.309   3.188   3.151   4200668c
13   13   1   HB   2.891   2.908   3.246   3.189   4200668d
13   14   1   HB   2.616   3.11   3.093   2.773   4200668e
13   15   1   HB   3.497   3.217   3.498   3.196   4200668f
14   12   1   HB   2.258   2.317   2.496   1.733   4200670c
14   13   1   HB   2.663   2.932   3.132   3.088   4200670d
14   14   1   HB   3.361   3.664   3.444   3.531   4200670e
14   15   1   HB   3.737   3.432   3.853   3.535   4200670f
15   12   1   HB   1.884   1.914   2.133   1.855   4200678c
15   13   1   HB   2.776   2.613   2.718   2.73   4200678d
15   14   1   HB   2.479   2.654   2.59   2.532   4200678e
15   15   1   HB   4.223   4.497   4.496   4.704   4200678f
16   12   1   HB   1.651   1.63   1.847   1.887   4200680c
16   13   1   HB   2.603   2.988   2.832   2.857   4200680d
16   14   1   HB   3.164   2.945   3.13   3.247   4200680e
16   15   1   HB   3.989   3.646   4.142   3.965   4200680f
15   12   2   HB   3.57   2.572   3.533   2.764   4200a78c
15   13   2   HB   2.561   2.62   2.853   3.213   4200a78d
15   14   2   HB   3.563   2.894   3.295   2.876   4200a78e
15   15   2   HB   3.884   3.69   3.957   3.904   4200a78f
16   12   2   HB   2.599   3.229   3.004   3.794   4200a80c
16   13   2   HB   2.842   2.88   2.968   3.071   4200a80d
16   14   2   HB   2.63   2.765   3.022   2.674   4200a80e
16   15   2   HB   3.246   3.552   3.384   3.231   4200a80f
1   3   4   HO   4.192   4.231   4.317   4.187   46012083
1   4   4   HO   4.014   3.909   4.289   4.026   46012084
1   5   4   HO   3.987   4.29   4.364   3.929   46012085
1   6   4   HO   4.185   4.08   4.096   3.98   46012086
2   3   4   HO   3.573   3.889   3.617   3.708   46012103
2   4   4   HO   3.828   4.144   4.146   4.233   46012104
2   5   4   HO   3.56   3.593   3.637   3.768   46012105
2   6   4   HO   4.467   4.617   4.717   4.635   46012106
3   3   4   HO   3.8   3.92   3.846   4.146   46012183
3   4   4   HO   4.171   4.127   4.488   4.257   46012184
3   5   4   HO   3.688   3.897   3.796   4.198   46012185
3   6   4   HO   4.635   4.266   4.594   4.256   46012186
4   3   4   HO   4.171   4.333   4.174   4.245   46012203
4   4   4   HO   3.633   3.838   3.922   3.893   46012204
4   5   4   HO   3.976   3.897   3.925   4.236   46012205
4   6   4   HO   4.152   4.086   3.981   4.064   46012206
5   2   4   HO   4.387   4.4   4.134   4.412   46012282
5   3   4   HO   3.795   4.12   4.356   3.67   46012283
5   4   4   HO   3.838   4.213   3.985   3.958   46012284
6   2   4   HO   3.079   3.468   3.341   3.405   46012302
6   3   4   HO   3.745   3.765   3.913   3.617   46012303
