#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.731   3.518   3.958   3.638   4200608c
1   13   1   HB   3.259   3.538   3.641   3.462   4200608d
1   14   1   HB   3.256   2.969   3.478   3.372   4200608e
1   15   1   HB   4.187   3.943   4.473   4.423   4200608f
2   12   1   HB   2.383   2.323   2.616   2.33   4200610c
2   13   1   HB   3.505   2.946   3.784   2.933   4200610d
2   14   1   HB   3.82   3.794   3.845   3.691   4200610e
2   15   1   HB   4.428   4.04   4.567   3.971   4200610f
3   12   1   HB   3.272   3.337   3.614   3.527   4200618c
3   13   1   HB   3.281   3.342   3.771   2.902   4200618d
3   14   1   HB   3.274   3.282   3.19   3.474   4200618e
3   15   1   HB   3.605   3.614   3.815   3.461   4200618f
4   12   1   HB   1.945   2.338   2.291   2.536   4200620c
4   13   1   HB   3.493   3.721   4.138   3.176   4200620d
4   14   1   HB   3.205   3.429   3.337   3.501   4200620e
4   15   1   HB   4.5   4.622   4.084   4.502   4200620f
5   12   1   HB   3.204   3.49   3.475   3.139   4200628c
5   13   1   HB   3.199   3.573   3.172   3.454   4200628d
5   14   1   HB   3.497   3.59   3.356   3.663   4200628e
5   15   1   HB   3.552   4.045   3.925   4.399   4200628f
6   12   1   HB   1.963   2.083   2.083   2.015   4200630c
6   13   1   HB   3.48   3.572   3.447   3.537   4200630d
6   14   1   HB   3.379   3.35   3.242   3.145   4200630e
6   15   1   HB   4.204   3.982   3.938   4.311   4200630f
7   12   1   HB   3.109   3.348   3.286   3.349   4200638c
7   13   1   HB   2.87   3.417   3.177   3.734   4200638d
7   14   1   HB   3.206   3.693   3.499   3.486   4200638e
7   15   1   HB   4.806   5.008   4.748   4.997   4200638f
8   12   1   HB   2.445   1.899   2.291   2.216   4200640c
8   13   1   HB   3.321   2.997   3.167   3.515   4200640d
8   14   1   HB   3.827   3.761   3.807   3.78   4200640e
8   15   1   HB   4.701   4.638   4.708   4.883   4200640f
9   12   1   HB   3.264   3.403   3.466   3.699   4200648c
9   13   1   HB   3.319   3.223   3.052   3.184   4200648d
9   14   1   HB   2.807   3.025   2.897   3.08   4200648e
9   15   1   HB   4.452   4.426   4.697   4.741   4200648f
10   12   1   HB   1.403   2.685   2.228   2.355   4200650c
10   13   1   HB   3.357   3.724   3.588   4.004   4200650d
