#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.742   3.506   3.981   3.655   4200608c
1   13   1   HB   3.124   3.602   3.687   3.511   4200608d
1   15   1   HB   4.198   3.944   4.452   4.428   4200608f
2   12   1   HB   2.581   2.477   2.78   2.426   4200610c
2   13   1   HB   3.37   3.048   3.706   3.017   4200610d
2   15   1   HB   4.399   4.065   4.545   3.981   4200610f
3   12   1   HB   3.28   3.385   3.592   3.464   4200618c
3   13   1   HB   3.12   3.408   3.773   3.041   4200618d
3   15   1   HB   3.635   3.578   3.83   3.45   4200618f
4   12   1   HB   2.088   2.492   2.433   2.535   4200620c
4   13   1   HB   3.447   3.719   3.999   3.315   4200620d
4   15   1   HB   4.49   4.659   4.057   4.484   4200620f
5   12   1   HB   3.267   3.501   3.449   3.109   4200628c
5   13   1   HB   3.105   3.617   3.213   3.476   4200628d
5   15   1   HB   3.54   4.068   3.952   4.403   4200628f
6   12   1   HB   2.152   2.257   2.311   2.16   4200630c
6   13   1   HB   3.439   3.602   3.495   3.551   4200630d
6   14   1   HB   8.777   8.914   8.968   9.215   4200630e
6   15   1   HB   4.178   3.998   3.898   4.319   4200630f
6   24   1   HB   8.917   9.114   9.158   9.01   42006318
6   34   1   HB   8.552   8.856   9.125   8.902   42006322
6   44   1   HB   10.24   10.32   10.13   10.25   4200632c
7   12   1   HB   3.101   3.376   3.289   3.341   4200638c
7   13   1   HB   2.862   3.327   3.316   3.683   4200638d
7   14   1   HB   9.637   9.827   9.98   10.1   4200638e
7   15   1   HB   4.836   5.016   4.724   5.012   4200638f
7   24   1   HB   9.572   9.483   9.461   9.644   42006398
7   34   1   HB   8.566   8.589   8.905   8.75   420063a2
7   44   1   HB   9.879   9.65   9.484   9.338   420063ac
8   12   1   HB   2.614   2.03   2.385   2.318   4200640c
8   13   1   HB   3.261   3.155   3.116   3.493   4200640d
8   14   1   HB   9.36   9.495   9.266   9.53   4200640e
8   15   1   HB   4.686   4.669   4.712   4.898   4200640f
8   24   1   HB   9.913   9.52   9.956   9.447   42006418
8   34   1   HB   9.405   10.07   9.822   9.984   42006422
8   44   1   HB   9.103   9.492   9.304   9.324   4200642c
9   12   1   HB   3.291   3.418   3.486   3.72   4200648c
9   13   1   HB   3.271   3.222   3.043   3.165   4200648d
9   14   1   HB   9.077   9.453   10.34   10.17   4200648e
9   15   1   HB   4.497   4.413   4.675   4.756   4200648f
9   24   1   HB   8.772   9.372   8.895   9.324   42006498
9   34   1   HB   9.595   9.983   10.4   9.784   420064a2
