#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.762   3.442   3.989   3.615   4200608c
1   15   1   HB   4.188   3.925   4.484   4.387   4200608f
2   12   1   HB   2.411   2.348   2.676   2.338   4200610c
2   15   1   HB   4.412   4.055   4.531   3.961   4200610f
3   12   1   HB   3.325   3.339   3.624   3.528   4200618c
3   15   1   HB   3.614   3.624   3.844   3.483   4200618f
4   12   1   HB   2.083   2.282   2.488   2.363   4200620c
4   15   1   HB   4.457   4.642   4.095   4.531   4200620f
5   12   1   HB   3.264   3.431   3.57   3.025   4200628c
5   15   1   HB   3.56   4.073   3.918   4.417   4200628f
6   12   1   HB   1.93   2.138   2.122   2.095   4200630c
6   13   1   HB   9.63   10   9.679   9.338   4200630d
6   14   1   HB   8.785   8.917   8.958   9.289   4200630e
6   15   1   HB   4.179   3.999   3.907   4.318   4200630f
6   23   1   HB   10.41   10.05   10.31   9.903   42006317
6   24   1   HB   8.912   9.285   9.253   8.963   42006318
6   33   1   HB   9.67   9.413   9.674   9.671   42006321
6   34   1   HB   8.435   8.888   9.114   8.89   42006322
6   43   1   HB   9.106   9.173   9.271   9.22   4200632b
6   44   1   HB   9.865   10.2   9.959   10.15   4200632c
7   12   1   HB   3.113   3.333   3.28   3.36   4200638c
7   13   1   HB   10.28   10.78   10.73   10.54   4200638d
7   14   1   HB   9.602   9.693   10.04   10.1   4200638e
7   15   1   HB   4.809   5.002   4.751   5.001   4200638f
7   23   1   HB   10.83   10.98   11.2   10.9   42006397
7   24   1   HB   9.532   9.519   9.482   9.593   42006398
7   33   1   HB   10.84   12.13   10.27   12.83   420063a1
7   34   1   HB   8.783   8.671   8.953   8.911   420063a2
7   43   1   HB   10.12   10.62   9.862   10.77   420063ab
7   44   1   HB   9.869   9.595   9.476   9.427   420063ac
8   12   1   HB   2.571   1.891   2.442   2.073   4200640c
8   13   1   HB   10.63   10.9   10.75   10.75   4200640d
8   14   1   HB   9.454   9.321   9.469   9.348   4200640e
8   15   1   HB   4.688   4.619   4.717   4.885   4200640f
8   23   1   HB   9.066   10.29   8.558   10.35   42006417
8   24   1   HB   9.827   9.396   9.701   9.642   42006418
8   33   1   HB   9.288   11.38   8.359   12.33   42006421
8   34   1   HB   9.552   10.21   9.803   9.97   42006422
8   43   1   HB   9.669   11.06   9.266   12.44   4200642b
8   44   1   HB   9.01   9.449   9.428   9.318   4200642c
9   12   1   HB   3.309   3.446   3.474   3.652   4200648c
9   13   1   HB   11.18   10.96   10.45   11.29   4200648d
9   14   1   HB   9.33   9.536   10.48   10.12   4200648e
9   15   1   HB   4.479   4.421   4.709   4.737   4200648f
9   23   1   HB   10.33   10.83   10.15   11.28   42006497
9   24   1   HB   9.054   9.202   8.987   9.186   42006498
9   33   1   HB   10.66   11.32   10.59   11.73   420064a1
9   34   1   HB   9.804   10.33   10.5   9.976   420064a2
9   43   1   HB   9.77   9.84   9.319   9.497   420064ab
9   44   1   HB   9.364   8.996   9.69   9.421   420064ac
10   12   1   HB   1.483   2.688   2.431   2.259   4200650c
10   15   1   HB   4.18   4.065   4.129   4.131   4200650f
11   12   1   HB   3.112   3.603   3.842   3.477   4200658c
11   15   1   HB   4.171   4.758   4.465   5.041   4200658f
12   12   1   HB   2.357   2.54   2.332   2.518   4200660c
12   15   1   HB   4.28   4.315   4.314   4.369   4200660f
13   12   1   HB   3.552   3.764   3.719   3.623   4200668c
13   15   1   HB   3.964   3.742   4.017   3.688   4200668f
14   12   1   HB   2.886   2.926   3.15   2.256   4200670c
14   15   1   HB   4.224   3.923   4.366   4.051   4200670f
15   12   1   HB   2.492   2.495   2.715   2.406   4200678c
15   15   1   HB   4.745   5.025   5.049   5.273   4200678f
16   12   1   HB   2.205   2.162   2.421   2.327   4200680c
16   15   1   HB   4.514   4.148   4.649   4.46   4200680f
15   12   2   HB   4.073   3.104   4.019   3.26   4200a78c
15   15   2   HB   4.431   4.166   4.461   4.398   4200a78f
16   12   2   HB   3.087   3.716   3.579   4.268   4200a80c
16   15   2   HB   3.753   4.092   3.9   3.734   4200a80f
1   3   4   HO   5.436   5.465   5.533   5.461   46012083
1   4   4   HO   3.522   3.453   3.779   3.537   46012084
