#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.731   3.442   4.001   3.642   4200608c
1   15   1   HB   4.191   3.92   4.49   4.449   4200608f
2   12   1   HB   2.453   2.362   2.722   2.38   4200610c
2   15   1   HB   4.395   4.039   4.549   3.991   4200610f
3   12   1   HB   3.312   3.348   3.636   3.514   4200618c
3   15   1   HB   3.633   3.622   3.828   3.431   4200618f
4   12   1   HB   2.107   2.326   2.489   2.354   4200620c
4   15   1   HB   4.497   4.627   4.104   4.53   4200620f
5   12   1   HB   3.25   3.454   3.542   3.025   4200628c
5   15   1   HB   3.586   4.062   3.931   4.403   4200628f
6   12   1   HB   2.006   2.2   2.121   2.136   4200630c
6   13   1   HB   11.23   12.13   11.44   11.12   4200630d
6   14   1   HB   8.734   8.917   9.01   9.174   4200630e
6   15   1   HB   4.183   4.011   3.906   4.323   4200630f
6   23   1   HB   10.03   9.867   9.623   9.926   42006317
6   24   1   HB   8.819   9.153   9.172   9.016   42006318
6   33   1   HB   9.521   9.377   9.416   9.477   42006321
6   34   1   HB   8.533   8.924   8.927   9.022   42006322
6   43   1   HB   10.12   9.986   10.11   10.17   4200632b
6   44   1   HB   10.04   10.34   10.19   10.34   4200632c
7   12   1   HB   3.111   3.308   3.318   3.343   4200638c
7   13   1   HB   9.722   9.909   9.821   9.797   4200638d
7   14   1   HB   9.653   9.835   10.02   10.08   4200638e
7   15   1   HB   4.817   5.005   4.739   4.974   4200638f
7   23   1   HB   10.45   10.47   10.5   10.54   42006397
7   24   1   HB   9.528   9.658   9.286   9.629   42006398
7   33   1   HB   10.35   10.32   10.51   10.17   420063a1
7   34   1   HB   8.79   8.639   8.943   8.885   420063a2
7   43   1   HB   9.29   9.366   9.426   9.538   420063ab
7   44   1   HB   9.704   9.577   9.483   9.477   420063ac
8   12   1   HB   2.606   1.921   2.521   2.126   4200640c
8   13   1   HB   11.46   11.06   11.45   11.27   4200640d
8   14   1   HB   9.428   9.448   9.411   9.553   4200640e
8   15   1   HB   4.676   4.644   4.72   4.895   4200640f
8   23   1   HB   10.28   10.33   10.48   10.25   42006417
8   24   1   HB   9.729   9.27   9.852   9.791   42006418
8   33   1   HB   9.941   9.817   9.934   10.02   42006421
8   34   1   HB   9.419   9.985   9.803   9.952   42006422
8   43   1   HB   10.77   10.97   10.88   11.27   4200642b
8   44   1   HB   9.141   9.562   9.39   9.418   4200642c
9   12   1   HB   3.324   3.412   3.505   3.654   4200648c
9   13   1   HB   10.04   10.09   10.01   10.08   4200648d
9   14   1   HB   9.186   9.408   10.41   10.2   4200648e
9   15   1   HB   4.483   4.451   4.697   4.721   4200648f
9   23   1   HB   9.875   9.602   9.44   9.402   42006497
9   24   1   HB   8.935   9.457   8.939   9.416   42006498
9   33   1   HB   10.7   10.61   10.55   10.66   420064a1
9   34   1   HB   9.749   9.928   10.37   9.901   420064a2
9   43   1   HB   8.739   8.977   8.824   8.819   420064ab
9   44   1   HB   9.5   9.342   9.523   9.536   420064ac
10   12   1   HB   1.565   2.709   2.474   2.269   4200650c
10   15   1   HB   4.143   4.12   4.121   4.159   4200650f
11   12   1   HB   3.131   3.576   3.841   3.465   4200658c
11   15   1   HB   4.16   4.76   4.468   5.036   4200658f
12   12   1   HB   2.391   2.578   2.358   2.552   4200660c
12   15   1   HB   4.263   4.34   4.325   4.373   4200660f
