#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.752   3.546   3.971   3.625   4200608c
1   15   1   HB   4.203   3.948   4.463   4.432   4200608f
2   12   1   HB   2.572   2.527   2.761   2.455   4200610c
2   15   1   HB   4.422   4.035   4.56   3.979   4200610f
3   12   1   HB   3.271   3.342   3.593   3.499   4200618c
3   15   1   HB   3.631   3.54   3.827   3.417   4200618f
4   12   1   HB   2.022   2.44   2.381   2.601   4200620c
4   15   1   HB   4.453   4.637   4.032   4.489   4200620f
5   12   1   HB   3.178   3.522   3.447   3.192   4200628c
5   15   1   HB   3.555   4.013   3.925   4.431   4200628f
6   12   1   HB   2.196   2.309   2.357   2.125   4200630c
6   13   1   HB   10.89   10.58   10.89   11   4200630d
6   14   1   HB   8.42   8.402   8.713   8.384   4200630e
6   15   1   HB   4.164   4.032   3.865   4.325   4200630f
6   23   1   HB   8.731   8.436   9.165   9.063   42006317
6   24   1   HB   9.647   9.835   9.805   10.04   42006318
6   33   1   HB   8.782   9.134   8.926   9.015   42006321
6   34   1   HB   10.18   9.972   10.06   9.776   42006322
6   43   1   HB   9.216   9.342   9.273   9.438   4200632b
6   44   1   HB   10.42   10.29   10.19   10.2   4200632c
7   12   1   HB   3.116   3.36   3.298   3.354   4200638c
7   13   1   HB   10.17   10.21   10.14   10.13   4200638d
7   14   1   HB   9.49   9.451   9.695   9.671   4200638e
7   15   1   HB   4.841   5.006   4.777   5.002   4200638f
7   23   1   HB   8.943   8.797   9.231   9.172   42006397
7   24   1   HB   8.798   8.912   8.741   9.034   42006398
7   33   1   HB   10.25   10.31   10.82   10.16   420063a1
7   34   1   HB   8.279   8.487   8.773   8.806   420063a2
7   43   1   HB   9.116   9.256   9.282   9.026   420063ab
7   44   1   HB   10.22   9.703   10.1   10.13   420063ac
8   12   1   HB   2.558   2.004   2.422   2.381   4200640c
8   13   1   HB   10.69   11.07   10.82   10.89   4200640d
8   14   1   HB   8.004   8.271   8.027   8.413   4200640e
8   15   1   HB   4.692   4.693   4.716   4.905   4200640f
8   23   1   HB   8.845   8.863   9.127   9.29   42006417
