#U ADC
# eta   phi   dep   det   cap1   cap2   cap3   cap4   HcalDetId
1   12   1   HB   3.761   3.448   4.009   3.628   4200608c
1   15   1   HB   4.171   3.916   4.496   4.415   4200608f
2   12   1   HB   2.467   2.341   2.731   2.346   4200610c
2   15   1   HB   4.451   4.033   4.563   3.982   4200610f
3   12   1   HB   3.311   3.309   3.638   3.498   4200618c
3   15   1   HB   3.636   3.608   3.806   3.447   4200618f
4   12   1   HB   2.064   2.297   2.477   2.388   4200620c
4   15   1   HB   4.492   4.617   4.07   4.518   4200620f
5   12   1   HB   3.26   3.46   3.571   3.05   4200628c
5   15   1   HB   3.559   4.04   3.933   4.393   4200628f
6   12   1   HB   1.979   2.174   2.116   2.135   4200630c
6   13   1   HB   9.657   9.67   9.728   9.345   4200630d
6   14   1   HB   8.781   8.873   8.875   9.154   4200630e
6   15   1   HB   4.205   4.024   3.911   4.329   4200630f
6   23   1   HB   10.34   9.991   10.07   9.778   42006317
6   24   1   HB   8.831   9.084   9.121   8.907   42006318
6   33   1   HB   9.776   9.503   9.798   9.757   42006321
6   34   1   HB   8.707   8.837   9.009   9.001   42006322
6   43   1   HB   9.246   9.269   9.293   9.279   4200632b
6   44   1   HB   9.765   10.24   10.11   10.15   4200632c
7   12   1   HB   3.116   3.334   3.291   3.353   4200638c
7   13   1   HB   10.29   10.48   10.84   10.4   4200638d
7   14   1   HB   9.672   9.774   10.02   10.17   4200638e
7   15   1   HB   4.825   5.002   4.755   4.992   4200638f
7   23   1   HB   10.84   10.8   11.1   10.75   42006397
7   24   1   HB   9.581   9.571   9.575   9.634   42006398
7   33   1   HB   10.66   11.87   9.734   12.77   420063a1
7   34   1   HB   8.777   8.556   8.857   8.825   420063a2
7   43   1   HB   10.13   10.81   9.568   11.06   420063ab
7   44   1   HB   9.75   9.598   9.54   9.401   420063ac
8   12   1   HB   2.579   1.894   2.456   2.115   4200640c
8   13   1   HB   10.73   11.14   10.78   10.89   4200640d
8   14   1   HB   9.436   9.412   9.334   9.521   4200640e
8   15   1   HB   4.698   4.618   4.741   4.894   4200640f
8   23   1   HB   9.466   10.45   8.637   11.03   42006417
8   24   1   HB   9.77   9.428   9.837   9.707   42006418
8   33   1   HB   9.356   11.37   8.034   12.04   42006421
8   34   1   HB   9.412   10.02   9.86   9.914   42006422
8   43   1   HB   9.811   11.49   9.051   12.34   4200642b
8   44   1   HB   9.122   9.59   9.362   9.257   4200642c
9   12   1   HB   3.305   3.413   3.469   3.658   4200648c
9   13   1   HB   10.73   10.93   10.45   11.3   4200648d
9   14   1   HB   9.191   9.388   10.45   10.26   4200648e
9   15   1   HB   4.457   4.453   4.669   4.724   4200648f
9   23   1   HB   10.18   10.56   10.07   10.96   42006497
9   24   1   HB   8.867   9.336   8.888   9.228   42006498
9   33   1   HB   10.07   10.54   10.54   10.59   420064a1
9   43   1   HB   9.385   9.538   9.322   9.634   420064ab
9   44   1   HB   9.368   9.072   9.491   9.453   420064ac
10   12   1   HB   1.546   2.743   2.378   2.249   4200650c
10   15   1   HB   4.163   4.127   4.143   4.161   4200650f
11   12   1   HB   3.085   3.621   3.848   3.51   4200658c
11   15   1   HB   4.146   4.802   4.457   5.044   4200658f
12   12   1   HB   2.377   2.545   2.33   2.537   4200660c
12   15   1   HB   4.272   4.334   4.299   4.373   4200660f
13   12   1   HB   3.542   3.825   3.717   3.633   4200668c
13   15   1   HB   3.985   3.709   4.002   3.7   4200668f
14   12   1   HB   2.902   2.971   3.181   2.288   4200670c
14   15   1   HB   4.201   3.915   4.348   4.035   4200670f
15   12   1   HB   2.471   2.519   2.711   2.423   4200678c
15   15   1   HB   4.716   5.034   5.038   5.288   4200678f
16   12   1   HB   2.237   2.15   2.46   2.356   4200680c
16   15   1   HB   4.507   4.112   4.659   4.45   4200680f
15   12   2   HB   4.111   3.075   4.015   3.244   4200a78c
15   15   2   HB   4.394   4.216   4.436   4.422   4200a78f
16   12   2   HB   3.082   3.736   3.578   4.258   4200a80c
16   15   2   HB   3.755   4.058   3.861   3.733   4200a80f
31   1   1   HF   4.467   4.541   4.789   4.523   48006f81
31   3   1   HF   4.288   4.172   4.146   4.347   48006f83
31   5   1   HF   4.661   4.49   4.483   4.552   48006f85
31   7   1   HF   4.477   4.325   4.491   4.707   48006f87
31   9   1   HF   4.269   4.299   4.633   4.284   48006f89
31   11   1   HF   4.498   4.289   4.307   4.587   48006f8b
31   13   1   HF   4.281   4.389   4.353   4.445   48006f8d
31   15   1   HF   4.422   4.129   4.117   4.599   48006f8f
31   17   1   HF   4.046   4.309   4.092   3.971   48006f91
31   19   1   HF   3.912   4.262   4.01   4.192   48006f93
31   21   1   HF   4.232   4.49   3.949   4.488   48006f95
31   23   1   HF   4.173   3.938   4.272   4.337   48006f97
31   25   1   HF   4.344   4.707   4.621   4.669   48006f99
31   27   1   HF   0.5153   0.8042   0.7718   0.8431   48006f9b
31   29   1   HF   4.267   4.3   4.349   4.414   48006f9d
31   31   1   HF   4.385   4.567   4.316   4.524   48006f9f
31   33   1   HF   4.486   4.38   4.351   4.406   48006fa1
31   35   1   HF   4.41   4.736   4.826   4.285   48006fa3
31   37   1   HF   4.522   4.174   4.494   4.477   48006fa5
31   39   1   HF   4.047   3.857   4.242   3.892   48006fa7
31   41   1   HF   4.72   4.588   4.749   4.897   48006fa9
31   43   1   HF   4.08   4.144   4.256   4.334   48006fab
31   45   1   HF   4.361   4.347   4.808   4.463   48006fad
31   47   1   HF   4.517   4.674   4.703   4.556   48006faf
33   1   1   HF   4.502   4.394   4.672   4.746   48007081
33   3   1   HF   4.892   4.391   4.607   4.762   48007083
33   5   1   HF   4.82   4.496   4.965   4.736   48007085
